Feature Method,Model,CV Accuracy Mean,CV Accuracy SD,CV Macro Precision Mean,CV Macro Precision SD,CV Macro Recall Mean,CV Macro Recall SD,CV Macro F1 Score Mean,CV Macro F1 Score SD
Raw Pixels,Logistic Regression,0.4574,0.0075,0.4403,0.0141,0.43,0.0123,0.4322,0.0124
Raw Pixels,k-NN,0.4703,0.0167,0.5186,0.024,0.4029,0.0155,0.4153,0.0185
Raw Pixels,Decision Tree,0.4618,0.0082,0.4359,0.0124,0.4368,0.0096,0.4348,0.011
Raw Pixels,Random Forest,0.6142,0.023,0.658,0.0267,0.553,0.0211,0.5666,0.0228
Raw Pixels,SVM,0.5518,0.0235,0.5865,0.0398,0.4738,0.0205,0.4747,0.0249
Raw Pixels,MLP,0.5384,0.0111,0.5192,0.0127,0.5008,0.0157,0.5062,0.0146
